email,spam
"Congratulations! You've won a $1,000 Walmart gift card. Click here to claim your prize now!",1
"Dear friend, I am in need of your help to transfer $10 million. Please respond urgently.",1
"Your invoice is attached. Please review and let us know if you have any questions.",0
"Get paid to work from home! No experience necessary. Sign up today!",1
"Your subscription has been renewed. Thank you for being a valued customer.",0
"Exclusive deal just for you! Buy one, get one free on all items!",1
"Important security update for your account. Please verify your information.",1
"Don't miss out on our summer sale! Up to 50% off on select items.",1
"Your subscription has been renewed. Thank you for being a valued customer.",0
"Win a free vacation! Enter our contest now!",1
"Looking for a new job? We have opportunities for you!",1
"Reminder: Your appointment is scheduled for tomorrow at 10 AM.",0
"Congratulations! You've been selected for a free cruise.",1
"Your password has been changed. If you didn't request this, please contact support.",1
"Let's catch up for coffee this weekend.",0
"Urgent: Please update your personal information immediately.",1
"Happy birthday! Enjoy a special discount on your next purchase.",1
"We are excited to announce a new product launch. Check it out!",0
"Are you interested in a high-paying job from home?",1
"Your order has been shipped. Tracking number: 123456789.",0
"Limited time offer! Get 70% off on all electronics.",1
"Your package is out for delivery and will arrive today.",0
"URGENT: Your account has been compromised. Reset your password now.",1
"Weekly newsletter: Top stories and updates from our team.",0
"Claim your free iPhone by clicking this link!",1
"Thank you for your payment. Your receipt is attached.",0
"Earn $500 a day from home! No skills required.",1
"Invitation to connect on LinkedIn.",0
"Alert: Suspicious login attempt detected on your account.",1
"Your friend tagged you in a photo on Facebook.",0
"Team lunch scheduled for Friday at noon.",0
"Can you review the attached document and provide feedback?",0
"Happy birthday! Wishing you a wonderful year ahead.",0
"Please find the meeting agenda attached.",0
"Your Amazon order has shipped and will arrive soon.",0
"Let's catch up over coffee next week.",0
"Reminder: Doctor's appointment tomorrow at 10 AM.",0
"Thank you for your recent purchase.",0
"Welcome to our service! Let us know if you need any help.",0
"Monthly report: Sales figures and analysis attached.",0
"Free Bitcoin giveaway! Visit our website to claim now.",1
"Your credit card has been suspended. Click to resolve the issue.",1
"Hope you’re doing well. Just checking in on the report you promised.",0
"Congratulations! You've been pre-approved for a $5,000 loan.",1
"Join us for our annual team-building retreat. RSVP now.",0
"Get your diploma online with no classes required!",1
"Let's finalize the design before Friday’s presentation.",0
"Double your income in just 30 days. Find out how!",1
"Update: Your resume has been viewed by 3 recruiters.",0
"Win big in our $10,000 sweepstakes. Enter today!",1
"Can we reschedule our meeting to next Monday?",0
"Security alert: Your bank account was accessed from a new device.",1
"Meeting minutes from last week's conference attached.",0
"You're a lucky winner! Claim your $500 Walmart gift card.",1
"Thank you for registering for the webinar. See you Thursday!",0
"Don't let this opportunity pass! Invest with us and earn guaranteed returns.",1
"New comment on your blog post.",0
"Act now! Limited-time offer on luxury watches.",1
"Join our webinar to learn how to scale your business.",0
"Alert: Multiple failed login attempts on your account.",1
"We noticed unusual activity in your PayPal account.",1
"Thanks for your feedback on the recent survey.",0
"Click here to verify your account and avoid suspension.",1
"Company picnic this weekend—bring your family!",0
"Final notice: Renew your antivirus subscription now.",1
"Happy Anniversary! We appreciate your loyalty.",0
"Get your free credit score instantly. No strings attached!",1
"Invoice for services rendered last month is attached.",0
"Important update about your insurance policy.",0
"Buy followers and boost your social media instantly!",1
"You've been selected for a special promotion! Claim your reward now.",1
"Hi, can we schedule a quick call to discuss the project update?",0
"Earn money fast by taking online surveys!",1
"Your login attempt was unsuccessful. Please verify your identity.",1
"Thanks for attending our workshop. Attached is your certificate.",0
"Final warning: Your Netflix subscription is about to expire!",1
"Friendly reminder: Submit your timesheet by EOD Friday.",0
"Unlock your full potential with our self-help eBook. Download now!",1
"Great meeting today. Please find the notes attached.",0
"Exclusive investment opportunity—act before the market shifts!",1
"We appreciate your continued support and loyalty.",0
"Flash Sale! 90% off all items—today only!",1
"Quarterly earnings report now available for review.",0
"Confirm your email to receive free cryptocurrency!",1
"Let’s have lunch next week to catch up.",0
"Protect your device with our antivirus software. Get it now!",1
"New calendar invitation: Budget Review Meeting - Friday 10 AM",0
"You have 1 unread message from your bank. Click here to view.",1
"Job interview scheduled for Tuesday at 2 PM.",0
"Apply for your dream job with one click!",1
"Reminder: Staff training scheduled for next Monday.",0
"Act fast! Only a few spots left in our program.",1
"We’re hiring! Explore open roles at our company.",0
"Reset your password immediately to secure your account.",1
"Your feedback matters! Take this 2-minute survey.",0
"Congratulations! You've earned a $100 shopping voucher.",1
"Please see the attached document and let me know your comments.",0
"Your tax return has been processed successfully.",0
"Sign up now and receive a free trial membership.",1
"Check out this funny cat video I found!",0
"Free course: Learn how to become a millionaire in 10 steps!",1
"Don't forget: All-hands meeting tomorrow at 9 AM.",0
"Limited time: Buy two, get three free!",1
"Your Dropbox is full. Click here to upgrade your storage.",1
"Please complete your profile to receive personalized job alerts.",0
"Action required: Confirm your email to continue using the service.",1
"Your travel itinerary is attached. Have a safe trip!",0
"Find out how I made $10,000 in one week!",1
"Invitation: Join our Slack workspace to stay connected.",0
"Payment successful! Your transaction ID is 789456.",0
"Get a brand new iPhone for just $1! Limited time offer!",1
"Let's circle back next week to finalize the budget.",0
"Hot singles in your area are waiting to chat!",1
"Reminder: Quarterly business review this Thursday at 11 AM.",0
"Unlock lifetime access to our fitness program today!",1
"Looking forward to your presentation tomorrow!",0
"Congratulations! Your loan has been approved—no credit check needed.",1
"Check out the revised contract draft attached.",0
"Earn up to $200/hr working from your phone!",1
"Just touching base—do you have a minute this afternoon?",0
"Verify your identity to continue using your account.",1
"Please find the updated schedule attached.",0
"Free rewards inside! Click to redeem your prize.",1
"Your application has been received and is under review.",0
